"did", "sht_temperature", "bmp_temperature", "illuminance", "bmp_pressure", "sht_humidity", "battery_voltage", "charge_flags_charge", "charge_flags_fault", "solar_voltage", "wind_direction", "wind_speed", "date"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sun Jun 29 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","245","245","245","245","245","245","245","245","-999","-999","-999","Mon Jun 30 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","2810","2809","2809","2809","2809","2810","2809","2809","-999","-999","-999","Tue Jul 01 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","3581","3581","3582","3582","3582","3582","3581","3581","-999","-999","-999","Wed Jul 02 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","3322","3322","3322","3322","3322","3322","3322","3322","-999","-999","-999","Thu Jul 03 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","2789","2789","2790","2791","2791","2790","2789","2789","-999","-999","-999","Fri Jul 04 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Sat Jul 05 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","409","409","409","409","409","409","409","409","-999","-999","-999","Sun Jul 06 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","1753","1753","1753","1753","1753","1753","1753","1753","-999","-999","-999","Mon Jul 07 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4107","4107","4107","4107","4107","4107","4107","4107","-999","-999","-999","Tue Jul 08 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","3716","3716","3716","3716","3716","3716","3716","3716","-999","-999","-999","Wed Jul 09 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","2251","2251","2251","2252","2252","2252","2251","2251","-999","-999","-999","Thu Jul 10 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","2803","2803","2803","2803","2803","2803","2803","2803","-999","-999","-999","Fri Jul 11 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","3864","3864","3864","3864","3864","3864","3864","3864","-999","-999","-999","Sat Jul 12 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","3845","3845","3845","3845","3845","3845","3845","3845","-999","-999","-999","Sun Jul 13 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4068","4068","4068","4069","4069","4069","4068","4068","-999","-999","-999","Mon Jul 14 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4133","4133","4133","4133","4133","4133","4133","4133","-999","-999","-999","Tue Jul 15 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","3397","3397","3397","3397","3397","3397","3397","3397","-999","-999","-999","Wed Jul 16 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","1122","1122","1122","1122","1122","1122","1122","1122","-999","-999","-999","Thu Jul 17 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","0","0","0","0","0","0","0","0","-999","-999","-999","Fri Jul 18 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","596","596","596","596","596","596","596","596","-999","-999","-999","Sat Jul 19 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4142","4141","4142","4142","4142","4142","4141","4142","-999","-999","-999","Sun Jul 20 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4140","4140","4140","4140","4140","4140","4140","4140","-999","-999","-999","Mon Jul 21 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4133","4133","4133","4133","4133","4133","4133","4133","-999","-999","-999","Tue Jul 22 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4132","4132","4132","4132","4132","4132","4132","4132","-999","-999","-999","Wed Jul 23 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4139","4139","4139","4139","4139","4139","4139","4139","-999","-999","-999","Thu Jul 24 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4143","4143","4143","4143","4143","4143","4143","4143","-999","-999","-999","Fri Jul 25 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4132","4132","4132","4132","4133","4132","4132","4132","-999","-999","-999","Sat Jul 26 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4131","4131","4131","4131","4131","4131","4131","4131","-999","-999","-999","Sun Jul 27 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4137","4137","4137","4138","4138","4138","4137","4137","-999","-999","-999","Mon Jul 28 2014 00:00:00 GMT-0400 (EDT)"
"0x812B","4140","4140","4140","4140","4140","4140","4140","4140","-999","-999","-999","Tue Jul 29 2014 00:00:00 GMT-0400 (EDT)"
